,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
53,2020-03-19T00:00:00.000Z,142.71,150.15,139.0,142.77,85922661,139.7905711039,147.0783704804,136.156466845,139.8493436795,85922661,0.0,1.0
54,2020-03-20T00:00:00.000Z,137.35,147.1,135.86,146.0,84866215,134.5402210155,144.0907645532,133.0807020544,143.0132673336,84866215,0.0,1.0
55,2020-03-23T00:00:00.000Z,135.98,140.57,132.52,137.01,78975176,133.1982472056,137.6943492403,129.8090286784,134.2071764204,78975176,0.0,1.0
56,2020-03-24T00:00:00.000Z,148.34,149.6,141.27,143.75,82516727,145.3053977826,146.5396218706,138.3800292891,140.809295748,82516727,0.0,1.0
57,2020-03-25T00:00:00.000Z,146.92,154.33,144.44,148.91,75638224,143.9144468264,151.172859915,141.4851803675,145.863737251,75638224,0.0,1.0
58,2020-03-26T00:00:00.000Z,156.11,156.66,148.37,148.4,64694427,152.916446325,153.4551949348,145.3347840704,145.3641703582,64694427,0.0,1.0
59,2020-03-27T00:00:00.000Z,149.7,154.89,149.2,151.75,57042291,146.6375761633,151.7214039541,146.1478046998,148.6456391635,57042291,0.0,1.0
60,2020-03-30T00:00:00.000Z,160.23,160.6,150.01,152.44,63420326,156.952163184,157.3145940669,146.9412344706,149.3215237831,63420326,0.0,1.0
61,2020-03-31T00:00:00.000Z,157.71,164.78,156.56,159.4,77927186,154.4837150081,161.4090835015,153.3572406421,156.1391425546,77927186,0.0,1.0
62,2020-04-01T00:00:00.000Z,152.11,157.75,150.82,153.0,57969926,148.9982746172,154.5228967251,147.7346642414,149.8700678222,57969926,0.0,1.0
63,2020-04-02T00:00:00.000Z,155.26,155.48,150.36,151.86,49630735,152.0838348371,152.299334281,147.284074495,148.7533888855,49630735,0.0,1.0
64,2020-04-03T00:00:00.000Z,153.83,157.38,152.19,155.1,41243284,150.6830884515,154.1604658422,149.0766380513,151.9271079687,41243284,0.0,1.0
65,2020-04-06T00:00:00.000Z,165.27,166.5,157.58,160.32,67111697,161.8890595357,163.0938973359,154.3563744276,157.0403220474,67111697,0.0,1.0
66,2020-04-07T00:00:00.000Z,163.49,170.0,163.26,169.59,62769038,160.1454731258,166.5222975802,159.9201782526,166.1206849801,62769038,0.0,1.0
